ich	I
meinetwegen	because of me, whatever (coll)
morden	murder
ausruhen	rest
unwichtig	unimportant
schieben	push
abnehmen	lose weight, remove
tauschen	exchange
dreimal	three times
Gemeinde	community
begehen	commit
treu	faithful; faithfully
attraktiv	attractive; attractively
Quelle	source
August	August
beschreiben	describe
blasen	blow
grausam	cruel; cruelly
Wäsche	laundry
betrachten	consider, look at
wecken	wake
leiten	conduct, guide
ablehnen	refuse
liefern	provide, deliver
leihen	lend; borrow
extrem	extreme, extremely
Bestie	beast
darunter	below; among them
amüsieren	amuse
Werbung	advertising
Jäger	hunter
Uni	university (coll); plain
reizend	lovely; gracefully
verschwenden	waste
Marine	navy
Spanien	Spain
herrschen	rule
sozusagen	so to speak
anstellen	hire, line up
trocken	dry; dryly
Führung	leadership, guide
Witwe	widow
Fähigkeit	ability, skill
Frühling	spring
Weihnachtsmann	Santa Claus
scheiden	divorce
stattdessen	instead
Rad	wheel, bike
Bibel	Bible
höchstens	at most
verzweifelt	desperately; desperate
Feigling	coward
hell	bright; brightly
abgeben	submit, make
Herzog	duke
nirgends	nowhere
Abenteuer	adventure
Ausdruck	expression
sinnlos	pointless; senselessly
reißen	tear
begreifen	understand
bereiten	prepare, cause
Zirkus	circus
nützlich	useful
vermuten	suspect
Tempel	temple
nachsehen	check
tapfer	brave; bravely
Ferien	vacation
kennenlernen	meet, get to know
bescheuert	nuts (coll)
vermeiden	avoid
Trainer	coach
entgegen	contrary to; towards
Gesang	singing
auffallen	stand out, notice
Truck	truck
bilden	form
Minister	minister
bereuen	regret
Teller	plate
erschöpfen	exhaust
typisch	typical; typically
König	king
Abschied	farewell
Autor	author
nochmals	again
Einspruch	objection
Funken	spark; radio
heutig	today's
Tropfen	drop, drip
Test	test
doppelt	double; twice
einsteigen	get in
Organisation	organization
Heirat	marriage
ungern	reluctantly
riesig	huge; enormously
keuchen	gasp
strafen	punish
umziehen	move; change
herrlich	wonderful; beautifully
leeren	empty
junior	junior
Verrat	betrayal
Katastrophe	disaster
Strafe	punishment
Blitz	lightning
verkehren	socialize, run
identifizieren	identify
Mitarbeiter	employee, coworker
vergewaltigen	rape
(he)rausholen	get out
Gelächter	laughter
begrüßen	welcome, greet
Kanal	channel, sewer
Laune	mood
Vorteil	advantage
Verfahren	procedure; proceed
Kette	chain
mächtig	powerful; mightily
nützen	benefit
Aufregung	excitement,
hereinlegen	trick (coll)
schämen	be ashamed
marsch	march
hurra	hurray
bewaffnen	arm
weisen	point
Gegenwart	presence, present
Sekretärin	secretary
Ladung	load
Bauer	farmer
einzeln	individually; single
Spion	spy
beeindruckend	impressive; impressively
Vieh	cattle
informieren	inform
Täter	perpetrator
zwanzig	twenty
außen	outside
erheben	raise, charge
(he)reingehen	go in
momentan	currently; current
verbinden	connect
Reaktion	reaction
platt	flat
verbergen	hide
herunter	down
Hinweis	hint, reference
schüchtern	shy; shyly
Mittwoch	Wednesday
Magie	magic
Zivilisation	civilization
Mannschaft	team
inner	internal
stürzen	fall, overthrow
nähern	move closer
Rose	rose
Kapitel	chapter
Bär	bear
hinunter	down
zunächst	first
großzügig	generous; generously
heimlich	secretly; secret
unhöflich	rude; impolitely
Schachtel	box
soeben	just
Kehle	throat
beißen	bite
Betrüger	fraud
umso	all the more
irren	be wrong
Aussicht	view, prospect
schwächen	weaken
Ausbildung	education
Spinner	weirdo (coll)
erstmal	for now (coll)
Scheibe	disc, slice
verlobt	engaged
golden	golden
Schwäche	weakness
grüßen	greet
Juni	June
verwunden	wound
Aufzug	elevator
zeihen	accuse (fml)
testen	test
sachte	gentle; gently (coll)
Gewehr	gun, rifle
entschlossen	determined; determinedly
Unterschrift	signature
weglaufen	run away
Lieferung	delivery
geradeaus	straight
bekämpfen	combat
Objekt	object
Profi	professional, pro (coll)
Schläger	bat, beater
mitmachen	join in
lohnen	be worth, reward
Admiral	admiral
anklagen	accuse, charge
Personal	staff, personal
Eingang	entrance
Ausgang	exit
Kamera	camera
explodieren	explode
anzeigen	indicate
Motorrad	motorcycle
erneut	again; renewed
billig	cheap; cheaply
pfeifen	whistle
fröhlich	cheerful; cheerfully
Service	service, set
Besucher	visitor
Technologie	technology
pflanzen	plant
Geschwindigkeit	speed
salzen	salt
Fantasie	imagination
flüstern	whisper
gestatten	allow
anständig	decent; decently
illegal	illegal; illegally
romantisch	romantic, romantically
verhandeln	negotiate, deal with
unterliegen	be subject to
Flamme	flame
keinerlei	absolutely no
auftauchen	show up
Exzellenz	excellency
Toast	toast
ungewöhnlich	unusual; unusually
besetzt	occupied, busy
vergleichen	compare
Käfig	cage
Daumen	thumb
spinnen	spin, be mad (coll)
existieren	exist
Spielzeug	toy
durchsuchen	search
Wirkung	effect
bedanken	thank
Abschluss	graduation, conclusion
Brieftasche	wallet
wehtun	hurt
intelligent	intelligent; intelligently
vorbeikommen	stop by
gerecht	just; fairly
Leber	liver
betragen	be, amount to
(he)rausfinden	find out
Kämpfer	fighter
ordentlich	properly; tidy
täuschen	deceive, be wrong
sanft	gently; soft
diskutieren	discuss
Aktion	action
Marke	brand
Behörde	authority
positiv	positive; positively
anhören	listen to
Spinne	spider
Stirn	forehead
verderben	spoil
Maus	mouse
glatt	smooth; smoothly
Verständnis	understanding
Café	café
aufwachsen	grow up
ausrichten	adjust, tall
Leinen	linen
garantieren	guarantee
Umgebung	environment, neighborhood
widerlich	disgusting; disgustingly
wiederkommen	come back
Fleck	spot
bezweifeln	doubt
vergehen	pass
Aktie	share, stock
einfallen	come to mind, invade
ausmachen	make out
pinkeln	pee (coll)
Belieben	convenience; please
Erzähler	narrator
zaubern	do magic
Zaun	fence
Dämon	demon
eingehen	enter
Tradition	tradition
befreunden	make friends
Generation	generation
Tipp	hint, tip
Übersetzung	translation,
rechnen	count, estimate
werten	evaluate
allzu	overly
aufmerksam	attentive; closely
einig	agreed, united
einschlafen	fall asleep
Stufe	step
grob	rough; roughly
üblich	usual
Parkplatz	parking lot
Interview	interview
aussuchen	pick
ertönen	sound
verwandeln	transform
Unterwäsche	underwear
fabelhaft	fabulous; fabulously
schluchzen	sob
knallen	bang
hinweg	away
Camp	camp
interviewen	interview
trainieren	train
ansonsten	otherwise
Zone	zone
Abschaum	scum (coll)
Seife	soap
Strecke	route
ohnmächtig	unconscious
scheinbar	seemingly; apparent
Puls	pulse
ekelhaft	disgusting; disgustingly
köstlich	delicious; deliciously
Krawatte	tie
campen	camp
Oper	opera
entführen	kidnap
Geisel	hostage
Version	version
strecken	stretch
Pirat	pirate
durchmachen	undergo
d(a)raus	out of it
Hühnchen	chicken
minus	minus
Vampir	vampire
letztendlich	eventually
sprengen	blow up
anschießen	shoot
füllen	fill
quietschen	squeak
Villa	villa
vermasseln	mess up (coll)
Tragödie	tragedy
faul	lazy; lazily
Krise	crisis
breit	wide; broadly
verprügeln	beat up
Grad	degree
heran	closer
durchaus	quite, absolutely
genial	brilliant; ingeniously
tauchen	dive
Brust	chest, breast
feige	cowardly
Salat	lettuce, salad
Butter	butter
kürzlich	recently; recent
Summe	sum
Brand	fire
ignorieren	ignore
putzen	clean
Ausrede	excuse
Trost	comfort
angeln	fish; fishing
erschrecken	scare
flott	fast (coll)
unterbrechen	interrupt
Schnaps	booze (coll)
Motiv	motive
verteilen	distribute, distribution
Serie	series
Irrtum	error
verschließen	close
Motel	motel
Kultur	culture
bedenken	consider; concerns
Experiment	experiment
ausgeben	spend, issue
verwickeln	involve, engage
übersehen	overlook
Mafia	mafia
Baseball	baseball
gemütlich	cozy; snugly
Sieger	winner
sichern	ensure
hinlegen	lay down; lie down
losgehen	start
Identität	identity
bestimmen	determine
Brett	board
Flieger	aviator, plane (coll)
Welle	wave
Telefonnummer	phone number
chinesisch	Chinese
verrücken	move, shift
(he)rausgehen	go out
ersetzen	replace
dünn	thin
Experte	expert
Kofferraum	trunk
rückwärts	backward
Clown	clown
verärgert	upset; crossly
genügend	enough
Handtuch	towel
Verschwörung	conspiracy
präsentieren	present
Öl	oil
Saal	room, hall
gefälligst	kindly (coll)
Sklave	slave
mies	lousy (coll)
Verhandlung	negotiation
Vorfahre	ancestor
beherrschen	control
reagieren	react
Versager	failure
brillant	brilliant; brilliantly
vergiften	poison
ölen	oil
lediglich	only
Melodie	melody
weswegen	why
aussetzen	expose
eröffnen	open
Ritter	knight
bewundern	admire
privat	private; privately
Weisheit	wisdom
kotzen	puke (coll)
friedlich	peaceful; peacefully
vorüber	past, over
unangenehm	unpleasant; unpleasantly
Verräter	traitor
Ereignis	event
Zahnarzt	dentist
verpflichten	oblige, commit
Flagge	flag
zurückgeben	return
Wirtschaft	economy
Platte	plate
Mutter	mother
bedauern	regret
höflich	polite; cordially
Verspätung	delay
Kommentar	comment
Sitzung	meeting
absichtlich	intentionally; intentional
absurd	absurd; absurdly
Rezept	recipe, prescription
Koma	coma
Muskel	muscle
Gürtel	belt
hinauf	up
russisch	Russian
einsetzen	use, insert; commit
irgendwohin	somewhere
löschen	delete
vertreten	represent
Therapie	therapy
verlieben	fall in love
vergangen	past
zuständig	responsible
überwachen	monitor
Couch	couch
bedienen	operate, serve
boxen	box
Kombination	combination
irgendwer	anyone
Zerstörung	destruction
Einsamkeit	loneliness
versehen	provide; overlook; oversight
backen	bake
Ausnahme	exception
Räuber	robber
nutzlos	useless
husten	cough
verdächtig	suspicious; suspiciously
Chip	chip
zurückgehen	go back
versichern	assure, insure
Hausaufgabe	homework
unfair	unfair; unfairly
Kater	hangover (coll), tomcat
hierhin	here
überfahren	run over
mitteilen	tell
enttäuschen	disappoint
Herausforderung	challenge
Akzent	accent
brutal	brutally; brutal
höchst	highly; superlative
Ansicht	opinion
Zoo	zoo
beteiligen	participate
Huhn	chicken, hen
Rasen	lawn; dash
Gehalt	salary; content
vollständig	completely; full
Lkw	truck (abr)
zurückbringen	bring back
Elend	miserable; misery
Spritze	shot, injection
Sofa	sofa
anlegen	invest, apply
Wahnsinn	madness
ärgern	annoy
abwarten	wait
stinken	stink
Zustimmung	approval
beunruhigt	worried
fließen	flow
Sammlung	collection, gathering
Vorfall	incident
Akt	act, nude
Temperatur	temperature
ungeheuer	enormous; enormously; monster
Polen	Poland
Artikel	article
gelangen	get to
ausgeschlossen	impossible
geschieden	divorced
Kabine	cabin
tanken	refuel
dazwischen	between
aufheben	cancel, pick up
charmant	charming, charmingly
Futter	feed
rudern	row
Nadel	needle
frech	cheeky; impudently
jahrelang	for years
Saison	season
Brite	British
Paket	package
verzichten	do without
Ferne	distance
bremsen	brake
Dealer	dealer
übernachten	stay overnight
vorhaben	plan
Kleinigkeit	little thing
Hotel	hotel
Erfindung	invention
Meldung	message
logisch	logical; logically
Veränderung	change
Philosophie	philosophy
umgeben	surround
Tankstelle	gas station
Januar	January
Japaner	Japanese
hinweisen	point, refer
ausdenken	come up with
piepen	beep; bucks (coll)
bewusstlos	unconscious
gestehen	confess
Umschlag	envelope
Schädel	skull
marschieren	march
verlaufen	run, get lost
gehorchen	obey
nüchtern	sober; soberly
Politiker	politician
faszinierend	fascinating; fascinatingly
politisch	political; politically
Schneider	tailor, cutter
anlügen	lie to
vierter	fourth
Demokratie	democracy
fesseln	tie up
hüten	guard
Schuppen	shed; dandruff
Herbst	autumn
wegnehmen	take away
zweifellos	undoubtedly; doubtless
Eisen	iron
Steak	steak
heftig	violently; violent
Versammlung	meeting
schrecken	scare; terror
Einbruch	burglary, collapse
Kompliment	compliment
Bezirk	district
zurzeit	currently
antreten	compete, start
Mütze	cap, hat
Diebstahl	theft
vielmals	many times
ahnen	anticipate
vereinen	unite
medizinisch	medical; medically
Wurm	worm
Wärme	warmth
Schlag	blow
entspannt	relaxed
Möbel	furniture
jubeln	cheer
sowohl	and, as well as
gering	low, small
Ermittlung	investigation
Diskussion	discussion
wärmen	warm
befragen	consult, question
verhungern	starve
stoßen	bump, butt
Studium	study
beleidigen	offend
Münze	coin
Landung	landing
übertreiben	exaggerate
zittern	tremble
Prinz	prince
Fahne	banner
Schach	chess
Gegensatz	contrast
Rebell	rebel
Tüte	bag
Bude	hut
Gestank	stench
Klient	client
hauptsächlich	mainly; main
andermal	another time
Vorschrift	rule
Etage	floor, level
Zusammenhang	connection, context
Schwachkopf	moron (coll)
festnehmen	arrest
Schaf	sheep
Regie	direction
füttern	feed
grau	grey
Verhältnis	relationship
Bach	brook
erobern	conquer
Löwe	lion
niedlich	cute
schlucken	swallow
Skandal	scandal
Reichtum	wealth
Sonnenuntergang	sunset
einnehmen	take
verbessern	improve
aushalten	bear, stand
Korb	basket
fortschreiten	progress
ausdrücken	express
Neffe	nephew
einschließen	involve, trap
heilen	heal
tödlich	fatal; mortally
bluten	bleed
Narbe	scar
Würstchen	sausage
Schlange	snake, line
betreiben	operate
bewachen	guard
besoffen	drunk (coll)
Stange	pole
Hure	whore
Pfad	path
Berater	consultant
respektieren	respect
unnötig	unnecessary; needlessly
Protokoll	minutes, protocol
organisieren	organize
Fuchs	fox
übertragen	transfer; figurative
Vorgehen	approach, proceed
unsichtbar	invisible, unseen
Nachbarschaft	neighborhood
belästigen	bother
wundern	surprise; wonder
Boot	boat
Haltung	attitude, pose
klagen	complain
rasch	quickly; rapid
reif	ripe, ready
überreden	persuade
Cent	cent
versammeln	gather
Bargeld	cash
Zeuge	witness
Bock	buck, ram
erregen	excite, attract
Gemüse	vegetables
Winkel	angle
wobei	in which; when
nebenbei	by the way
krachen	crash
Keks	biscuit
Gräfin	countess
Kratzer	scratch
Friseur	hairdresser
Halle	hall
Knoten	knot
Konferenz	conference
aufbauen	build up
Kaution	deposit
unterrichten	teach, inform
gründlich	thoroughly; thorough
öffentlich	public; publicly
verdanken	owe
gespannt	curious; eagerly
eigenartig	peculiar; peculiarly
Cash	cash
königlich	royal, royally
keineswegs	by no means
ohnehin	anyway
Orange	orange
Eifersucht	jealousy
Gestalt	shape, character
melancholisch	melancholy; melancholically
unbekannt	unknown
Geschäftsmann	businessman
andererseits	on the other hand
Blutdruck	blood pressure
legal	legal; legally
Bezug	relation, reference
japanisch	Japanese
fordern	demand
Cowboy	cowboy
Rente	pension
Spannung	tension, voltage
Ex	ex
mitfahren	go with
Anspruch	claim
abhalten	discourage
empfehlen	recommend
versorgen	provide
modern	modern; modernly
Lunge	lung,
blond	blond
arrangieren	arrange
Herzinfarkt	heart attack
enthalten	contain; refrain
Honig	honey
Rollstuhl	wheelchair
Kreatur	creature
Zwilling	twin
Vergewaltigung	rape
engagieren	engage
harmlos	harmless; harmlessly
streichen	strike, delete
Häuptling	chief
quitt	quits
braun	brown
bezüglich	regarding
zustimmen	agree
bellen	bark
klettern	climb
anwesend	present
Lastwagen	truck
Ruhestand	retirement
benötigen	need
Karre	cart
entsprechen	correspond
verwandt	related
gnädig	gracious; graciously
Ticket	ticket
aufrichtig	sincere; sincerely
gesegnet	blessed
riskant	risky, dangerously
Album	album
Zutritt	access
unsicher	uncertain; uncertainly
rasieren	shave
empfinden	feel
gelb	yellow
läuten	ring
geschäftlich	commercial, commercially
verlegen	embarrassed; move; sheepishly
vergraben	bury
Missverständnis	misunderstanding
Konzept	concept
Kleingeld	change
Tabak	tobacco
Senat	senate
hervor	out
britisch	British
Schwager	brotherinlaw
Entführung	kidnapping
verschieben	move
vorkommen	occur, exist
Apfel	apple
Mode	fashion
Kacke	poo (coll)
exakt	exact; exactly
umarmen	hug
Klemme	jam (coll)
endgültig	final; finally
hilfreich	helpful
Werkzeug	tool
doof	stupid (coll)
bumsen	f*ck (coll), thump
aufstellen	establish; line up
Stab	rod
lokal	local; locally; pub (coll)
Buchstabe	letter, character
vertreiben	expel
insgesamt	altogether
herstellen	produce
abbrechen	cancel, stop
jährig	*year
Streifen	strip; brush
wertvoll	valuable
Duft	scent
erziehen	bring up
Zwerg	dwarf
Buchhalter	accountant
messen	measure
Lizenz	license
behilflich	helpful
Schwede	Swede
stabil	stable; sturdily
Hahn	tap, rooster
ergreifen	seize, take
bedeckt	covered, overcast
Kneipe	bar (coll)
Software	software
Pfeil	arrow, dart
herbringen	bring (here)
jedermann	everyone
Verletzung	injury, violation
erweisen	prove
Kongress	congress
Gemeinschaft	community
versetzen	move, transfer
umwerfend	stunning; stunningly
zurückziehen	withdraw
Wohnwagen	caravan
Autounfall	car accident
weiblich	female, feminine
biegen	bend
gratis	free
mangeln	lack
durchziehen	pull through
schmeißen	throw (coll)
durchgehen	go through, be allowed
Geschrei	shouting
knacken	crack
verirren	get lost
reichlich	plenty
irre	crazy, maniac
Batterie	battery
dreckig	filthy
übermorgen	day after tomorrow
angeklagt	accused
Torte	cake
andauernd	constantly; ongoing
Löffel	spoon
hinüber	across
Angesicht	face
klassisch	classical, classically
Gelände	terrain
naiv	naive; naively
umgekehrt	vice versa; reversed
vorlesen	read aloud
Dankeschön	thankyou
hierbleiben	stay here
Original	original
Notiz	note
überaus	extremely
Besatzung	crew, occupation
Finsternis	darkness
Verhaftung	arrest
gebunden	tied
Feuerzeug	lighter
sämtlich	all; altogether
beschädigt	damaged
Beamte	civil servant
kräftig	strong; strongly
leck	leaky; leak
Garderobe	wardrobe
gelingen	succeed; success
einzigartig	unique; uniquely
belügen	lie to
sperren	lock, block
